"","trtid10","pop16","nhblk16","blk16","pov16","pov_det16","hu16","ohu16","mhm16","hu16_4vac","vac16","pop70","black70","hu70","vac70","ohu70","pov_det70","pov70","pop80","nhblk80","hu80","vac80"
"91",29510124300,3117,724,724,578,3117,1983,886,168400,1983,442,7294.38289671708,2.91112594958395,3120.63169747591,480.085307687521,2640.54638981819,7310.793229,1588.342481,5208.999999,14,2614,490
"92",29510124600,1780,1182,1182,1026,1776,960,178,49800,960,260,3459.61689865388,16.0888738930225,1657.36828613281,277.914675712585,1379.45360565186,3460.206566,493.6574097,2561.00002,168,1275,147
"93",29510125500,2976,880,880,438,2897,3290,382,174400,3290,1236,2446.13305024922,546.561386108398,1561.65323257446,139.277256965637,1422.37597560883,2477.119304,295.1836925,2322.999969,333,1985,134
"94",29510125600,4548,2125,2125,701,3888,3134,203,214000,3134,357,2532.86870216373,986.328578472137,1512.4783782959,289.121881484985,1223.35646677017,2453.45783,794.7869805,1127.000058,171.0000153,1018.000061,154.0000153
"95",29510125700,3708,3635,3635,2272,3708,1758,60,NA,1758,234,5861.48782032399,5106.81315231323,2460.25743103027,537.335411071777,1922.92202758789,5716.463105,2574.541247,3340.00001,3225,1635,340
"96",29510126600,3618,2859,2859,1386,3192,1575,316,127300,1575,372,10951.0000766213,2356,5085,1300,3785,10956.00008,3827,4620.000032,1785,2386,682
"97",29510126700,1173,734,734,543,1173,999,207,42800,999,487,5130.99998536549,69,2275,352,1923,5130.999985,1126,3204.999991,645,1722,433
"98",29510126800,3375,209,209,286,3366,1928,1141,124600,1928,187,6465.96157554797,33.0234815459698,2412.05175018311,116.06707572937,2295.98467254639,6532.819844,511.0254893,4964.654976,36.11694333,2142.54808,111.1986691
"99",29510126900,4207,4071,4079,1540,4057,2279,1018,61300,2279,650,8111.96883114304,7353.970703125,2652.98974609375,60.9997673034668,2591.98999023438,8144.968831,822.99646,6971.973588,6768.974121,2532.98999,124.9995041
"100",29510127000,1978,1652,1652,354,1115,849,201,61000,849,271,2854.6400531675,550.000361331437,982.467245267588,59.9833422593874,922.48391349864,2854.640058,248.8511647,2415.296385,607.5942372,1213.089138,148.9206824
"101",29510127100,1991,1894,1894,864,1922,1317,239,77100,1317,487,12085.0001147981,9408,4411,816,3595,12050.00012,4553,5280.000048,4837,2212,569
"102",29510127200,4331,885,885,621,4321,2363,1020,132500,2363,180,7675.99989727352,565,2264,71,2193,7600.999899,723,5569.999927,447,2141,105
"103",29510127300,3655,2230,2243,1127,3513,1836,603,205400,1836,230,10906.0001041307,5824,4093,708,3385,10851.0001,3722,5941.000053,4176,2568,610
"104",29510127400,5817,3823,3832,2606,5654,2368,776,199700,2368,125,9951.75466016047,7425.13819885254,3768.53469848633,900.838228225708,2867.69640731812,10350.76038,4640.957794,6467.000103,5411,2442,368
"105",29510127500,2476,2047,2047,786,2467,1616,120,165600,1616,283,11744.2531335421,11425,5207.7080078125,2117.00451660156,3090.70361328125,11568.25313,6975.276855,3046,2854,1274,362
"106",29510127600,2957,578,590,413,2957,2244,547,195900,2244,358,5611.50287265538,76.1589756011963,2721.36838340759,676.422749757767,2044.94563388824,5611.946469,1744.253669,2436.000015,87,2096,907
