Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_shape_area,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT6,SE_T001_001,SE_A002_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T082_001,SE_T082_002,SE_T082_003,SE_T100_001,SE_T100_002,SE_T100_003
"Census Tract 1025","Census Tract 1025, St. Louis City, Missouri","G2905100102500","2905100102500","50",0.35725310020593,"29510102500","29","510","102500",2248,0.35725310020593,2248,2211,2191,0,19,1,37,30,0,6,1,981,959,22,2230,2067,163
"Census Tract 1031","Census Tract 1031, St. Louis City, Missouri","G2905100103100","2905100103100","50",0.47269572431087,"29510103100","29","510","103100",3621,0.47269572431087,3621,3590,3535,18,18,19,31,31,0,0,0,1795,1745,50,3604,3473,131
"Census Tract 1034","Census Tract 1034, St. Louis City, Missouri","G2905100103400","2905100103400","50",0.34333070229693,"29510103400","29","510","103400",2338,0.34333070229693,2338,2327,2309,3,13,2,11,6,0,0,5,1020,979,41,2355,2277,78
"Census Tract 1036","Census Tract 1036, St. Louis City, Missouri","G2905100103600","2905100103600","50",0.51490482734571,"29510103600","29","510","103600",1707,0.51490482734571,1707,1689,1662,7,10,10,18,8,0,0,10,737,718,19,1716,1592,124
"Census Tract 1037","Census Tract 1037, St. Louis City, Missouri","G2905100103700","2905100103700","50",0.34643320647136,"29510103700","29","510","103700",3171,0.34643320647136,3171,3154,3133,0,13,8,17,12,0,3,2,1459,1402,57,3129,2993,136
"Census Tract 1038","Census Tract 1038, St. Louis City, Missouri","G2905100103800","2905100103800","50",0.66597292307878,"29510103800","29","510","103800",4469,0.66597292307878,4469,4427,4414,4,8,1,42,34,0,0,8,1874,1834,40,4463,4301,162
"Census Tract 1039","Census Tract 1039, St. Louis City, Missouri","G2905100103900","2905100103900","50",0.58620214389285,"29510103900","29","510","103900",1372,0.58620214389285,1372,1355,1342,8,5,0,17,13,0,0,4,583,549,34,1362,1198,164
"Census Tract 1041","Census Tract 1041, St. Louis City, Missouri","G2905100104100","2905100104100","50",0.47292852782594,"29510104100","29","510","104100",3462,0.47292852782594,3462,3436,3381,28,19,8,26,17,0,1,8,1528,1453,75,3440,3083,357
"Census Tract 1042","Census Tract 1042, St. Louis City, Missouri","G2905100104200","2905100104200","50",0.42597359285985,"29510104200","29","510","104200",4325,0.42597359285985,4325,4278,4201,31,41,5,47,43,1,0,3,2048,1958,90,4313,4011,302
"Census Tract 1045","Census Tract 1045, St. Louis City, Missouri","G2905100104500","2905100104500","50",0.75755807541448,"29510104500","29","510","104500",2817,0.75755807541448,2817,2758,2569,162,16,11,59,44,2,9,4,1196,1108,88,2631,2242,389
"Census Tract 1051","Census Tract 1051, St. Louis City, Missouri","G2905100105100","2905100105100","50",0.44582633228768,"29510105100","29","510","105100",4286,0.44582633228768,4286,4239,2711,1434,47,47,47,32,6,0,9,2164,1907,257,4270,3589,681
"Census Tract 1052","Census Tract 1052, St. Louis City, Missouri","G2905100105200","2905100105200","50",0.31767365391804,"29510105200","29","510","105200",2871,0.31767365391804,2871,2861,312,2518,19,12,10,3,7,0,0,1824,945,879,2903,2258,645
"Census Tract 1053","Census Tract 1053, St. Louis City, Missouri","G2905100105300","2905100105300","50",0.37018454576187,"29510105300","29","510","105300",4013,0.37018454576187,4013,3990,73,3888,13,16,23,0,21,2,0,1791,1426,365,3967,2610,1357
"Census Tract 1054","Census Tract 1054, St. Louis City, Missouri","G2905100105400","2905100105400","50",0.27662100692732,"29510105400","29","510","105400",3564,0.27662100692732,3564,3547,41,3491,7,8,17,0,17,0,0,1270,1052,218,3530,2164,1366
