Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyCheck,fullAddress,lon,lat
17-046259,2017-09,03/18/2016 00:01,Y,NA,NA,1,NA,23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,2900,JAMES COOL PAPA BELL AVE,59,NA,NA,2900,JAMES COOL PAPA BELL,0,0,TRUE,"2900 JAMES COOL PAPA BELL AVE, St. Louis, MO",NA,NA
16-018667,2016-04,03/18/2016 22:00,Y,NA,NA,1,NA,21000,5,RAPE -- FORCIBLE,1300,MONTCLAIR AVE,78,NA,NA,1300,MONTCLAIR,0,0,TRUE,"1300 MONTCLAIR AVE, St. Louis, MO",NA,NA
16-013084,2016-04,03/21/2016 07:00,NA,NA,NA,1,NA,43013,1,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,4400,GRAVOIS,5,NA,NA,NA,NA,0,0,TRUE,"4400 GRAVOIS, St. Louis, MO",NA,NA
16-013084,2016-04,03/21/2016 07:00,NA,NA,NA,1,NA,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,4400,GRAVOIS,5,NA,NA,NA,NA,0,0,TRUE,"4400 GRAVOIS, St. Louis, MO",NA,NA
16-013254,2016-04,03/22/2016 02:00,Y,NA,NA,1,NA,41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,3100,ROLLA,56,NA,NA,3100,ROLLA,0,0,TRUE,"3100 ROLLA, St. Louis, MO",NA,NA
16-013254,2016-04,03/22/2016 02:00,Y,NA,NA,1,NA,41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,3100,ROLLA,56,NA,NA,3100,ROLLA,0,0,TRUE,"3100 ROLLA, St. Louis, MO",NA,NA
16-013321,2016-07,03/22/2016 12:19,NA,NA,NA,1,NA,10000,6,HOMICIDE,4443,LABADIE,56,NA,NA,4443,LABADIE,0,0,TRUE,"4443 LABADIE, St. Louis, MO",NA,NA
16-035803,2016-07,03/23/2016 00:01,Y,NA,NA,1,NA,21000,3,RAPE -- FORCIBLE,4100,MINNESOTA AVE,16,NA,NA,4100,MINNESOTA,0,0,TRUE,"4100 MINNESOTA AVE, St. Louis, MO",NA,NA
16-023738,2016-05,03/24/2016 07:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,5400,GRAVOIS AVE,5,ADVENTURE LEARNING CENTER,NA,5400,GRAVOIS,0,0,TRUE,"5400 GRAVOIS AVE, St. Louis, MO",NA,NA
16-013736,2016-04,03/24/2016 17:41,NA,NA,NA,1,NA,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1914,GRAND,66,NA,NA,1914,GRAND,0,0,TRUE,"1914 GRAND, St. Louis, MO",NA,NA
16-013742,2016-03,03/24/2016 18:45,Y,NA,NA,1,NA,66701,3,LARCENY-BICYCLES UNDER $500,2100,CONGRESS ST,22,NA,ALLEYWAY,NA,NA,0,0,TRUE,"2100 CONGRESS ST, St. Louis, MO",NA,NA
16-019820,2016-05,03/25/2016 16:30,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,5000,MINNESOTA AVE,17,NA,NA,7600,MICHIGAN,0,0,TRUE,"5000 MINNESOTA AVE, St. Louis, MO",NA,NA
16-014162,2016-03,03/26/2016 22:00,Y,NA,NA,1,NA,21000,1,RAPE -- FORCIBLE,5300,NAGEL AVE,6,NA,NA,5300,NAGEL,0,0,TRUE,"5300 NAGEL AVE, St. Louis, MO",NA,NA
16-014230,2016-03,03/27/2016 19:30,Y,NA,NA,1,NA,23000,4,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4000,PLEASANT ST,67,NA,NA,4000,PLEASANT,0,0,TRUE,"4000 PLEASANT ST, St. Louis, MO",NA,NA
16-014297,2016-04,03/28/2016 07:28,NA,NA,NA,1,NA,51130,2,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,3157,SUBLETTE,13,NA,: @SPD,3157,SUBLETTE,0,0,TRUE,"3157 SUBLETTE, St. Louis, MO",NA,NA
16-014904,2016-09,03/31/2016 11:38,NA,NA,NA,1,NA,42203,5,AGG.ASSAULT-KNIFE/POLICE OFFICER 3RD DEGREE,4970,MCPHERSON,38,NA,NA,NA,NA,0,0,TRUE,"4970 MCPHERSON, St. Louis, MO",NA,NA
17-015885,2017-05,4/1/2016 8:00,Y,NA,NA,1,NA,21000,6,RAPE -- FORCIBLE,4900,NATURAL BRIDGE AVE,55,NA,NA,4900,NATURAL BRIDGE,0,0,TRUE,"4900 NATURAL BRIDGE AVE, St. Louis, MO",NA,NA
